bus
6
stop
1a
17	01071522273439455259
18	061421273441465359
19	0611162330384553
20	0211223347
21	03152747
22	072747
23	072645
stop
40a
5	48
6	13293440475359
7	05112025343843485458
8	0309141824293440455156
9	02091520273337445157
10	04122029384755
11	04132332384755
12	020917233037445156
13	010814212835424956
14	031017243036424955
15	010815233138455259
16	071320263238455156
17	030917242936414754
18	010816232936434855
19	010813182532404755
20	0413243549
21	05172949
22	092949
23	092847
stop
41a
5	50
6	153136424955
7	01071322273640455056
8	000511162026313642475358
9	04111722293539465359
10	06142231404957
11	06152534404957
12	041119253239465358
13	031016233037445158
14	051219263238445157
15	0310172533404754
16	01091522283440475358
17	051119263138434956
18	031018253138455057
19	031015202734424957
20	0615263751
21	07193151
22	113151
23	113049
stop
42a
5	53
6	183439455258
7	04101625303943485359
8	0308141923293439455056
9	01071420253238424956
10	02091725344352
11	00091828374352
12	000714222835424956
13	010613192633404754
14	010815222935414754
15	000613202836435057
16	051420273340465359
17	041118263338455056
18	031017253137445156
19	030815202532394653
20	011019294054
21	10223454
22	143454
23	143352
stop
43a
5	55
6	2036414754
7	00061218273241455055
8	010510162125313641475258
9	03091622273440445158
10	04111927364554
11	02112030394554
12	020916243037445158
13	030815212835424956
14	031017243137434956
15	020815223038455259
16	0716222935424855
17	01061320283540475258
18	051219273339465358
19	051017222734414855
20	031221314256
21	12243656
22	163656
23	163554
stop
44a
5	57
6	2238434956
7	02081420293443475257
8	0307121823273338434954
9	00051118242936424653
10	0006132129384756
11	04132232414756
12	0411182632394653
13	00051017233037445158
14	051219263339455158
15	0410172432404754
16	010918243137445057
17	030816233138435055
18	010815223036424956
19	01081320253036435057
