days
67
bus
16a-b
stop
1a
6	062648
7	0017314355
8	0719314454
9	0316303752
10	03223854
11	09253954
12	08213447
13	011324354657
14	0819314253
15	0518314457
16	10233649
17	0215294053
18	0619324557
19	0920314254
20	08223859
21	2043
22	032955
23	25
stop
11a
6	082850
7	0219334557
8	0921334656
9	0518323954
10	05244056
11	11274156
12	10233649
13	031526374859
14	1021334455
15	0720334659
16	12253851
17	0417314255
18	0821344759
19	1122334456
20	102440
21	012245
22	053157
23	27
stop
83a
6	103052
7	0421354759
8	1123354858
9	0720344156
10	07264258
11	13294358
12	12253851
13	0517283950
14	011223354657
15	09223548
16	0114274053
17	0619334457
18	10233649
19	011324354658
20	122642
21	032447
22	073359
23	29
stop
12a
6	133355
7	08253951
8	0315273952
9	0211243845
10	00113046
11	02173347
12	0216294255
13	0921324354
14	0516273950
15	0113263952
16	0518314457
17	10233748
18	0114274053
19	0517283950
20	02163046
21	062750
22	1036
23	0232
stop
13a
6	163658
7	11284254
8	0618304255
9	0514274148
10	03143349
11	05203650
12	0519324558
13	1224354657
